index,comment,date,platform,title,product
0,第一次购买这种含片，看评价说可以提神醒脑，能量十足，吃过之后感觉还不错，希望下次能够带来好运气！作为京东10年来的超级忠实粉丝，每天至少逛一遍京东，虽然工资月收入很低，但是每个月在京东上面消费达到平均三千，有时候还很多，一年平均下来要消费五六万，没钱了用白条都要提前消费购物。因为京东这个平台上面的东西实在是太多了，各种品牌，拥有尽有，而且很多东西都质量非常好，购买方便快捷，很快就到货，不满意的也会上门免费取件退回，不需要多费神，这是我非常满意的地方。作为铁粉，希望京东多搞一点优惠力度更大的活动，至少要比实体店优惠更多，另外希望京东的所有所有的商品一律都是正品百分百正品行货！支持京东！希望继续做好一级棒的销售和售后服务！！,牛磺酸气泡含片 2021-03-08 00:27,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
1,维C含量丰富，营养丰富，酸酸甜甜孩子喜欢，Q弹的口感。每日可以补充维C，健康又实用。含量真的很丰富。为了显示对比 ，Q弹的效果，颜色清凉，像一个橙子一样。酸甜入口后劲儿十足。 就像在吃糖一样，孩子喜欢。,维生素软糖*5 2021-02-20 08:45,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
2,很好?从没想过这么实惠的价格，?能买到这么好的宝贝，?性价比非常高，我很喜欢哦?是正品很好用，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买一直在这里买这个，活动的时候价格很美丽，发货速度贼快，质量不错，应该是正品真的推荐啊，快递速度特别的快，爱了爱了质量挺好，物流也很快，赞！材质结实，手感好，很得劲，物流也快，性价比很高，值得购买跟我在实体店买的一模一样！还是一样的好用，开心趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒?宝贝收到，物流很快，描述相符，比较满意，好评，推荐,维生素软糖 2021-02-05 19:29,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
3,发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评物流很快，物品完好无损，用起来很舒服，喜欢?质量挺好，物流也很快，赞！尺寸刚刚好，质量也非常好，店家的包装太用心了，值得推荐！刚好做活动，价格便宜了很多，性价比超高，真的特别划算正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买质量非常好，非常满意的一次购物。客服有问必答，非常专业本来还很担心东西不好，拿到手发现完全多虑了，五星好评产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们,明目软糖 2021-03-04 21:32,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
4,物流快，包装精致，味道非常好，甜甜的，助眠和缓解疲劳非常好，有时候开车感觉困了来两颗，非常不错，推荐，准备再入手多几代慢慢吃,明目软糖 2021-01-19 23:45,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
5,带着酸甜味，维C软糖真的太好吃了，可以增**生素，预防感冒，效果真是棒棒的,维生素软糖*5 2021-01-21 12:00,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
6,包装真的是很好看，味道很好吃，现在还不知道效果，等过段时间看效果怎么样在来评价。,维生素软糖*5 2021-01-20 15:45,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
7,这真的是没想到这一款糖这么好吃，而且吃完以后补充非常大的动力，去运动明显能看出来他是无糖的，并且他也无添加任何蔗糖，所以没有对这个糖尿病患者也可以使用金钱的运动完之后做一个补充技术非常的舒服比较合适，而且他的外包装非常的艳丽，快递有既往的给力。,牛磺酸气泡含片 2021-03-07 22:18,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
8,"简直是一款颜值又高又好吃的叶黄素酯软糖哦！
首先产品收到了，包装非常好，没有一点破损！
再说说产品的颜值吧，包装盒非常的帅气，而且里面每包都是绿色的包装，**太酷了！
零蔗糖的配方，超级放心哦！
每一块儿糖设计也太可爱了吧，吃起来有淡淡的蓝莓味儿。超级好吃，我相信大家一定都会喜欢这款产品的哦！",明目软糖 2021-03-05 21:09,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
9,非常好??,餐前咀嚼糖 2021-03-04 22:52,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
20,京东很快就送到了很期待！,睡眠软糖 2021-03-01 18:18,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
21,京东很快就送到了 很期待效果,餐前咀嚼糖 2021-03-01 18:18,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
22,开始被包装吸引了……买了一些，造型可爱，酸酸甜甜很不错！一次性买了不少，还有其他产品一块，都陆续到货了，期待使用效果，好的话继续购买！,维生素软糖 2021-03-01 11:41,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
23,效果杠杠的,鼓掌软糖 2021-03-01 11:35,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
24,拆开盒子，可以看到一包包一颗装的类似糖包装，袋子上是Buff XEAT logo图标，拆开后尝了下味道，淡黄色的一颗颗还是很不错的。能阻断淀粉，蔗糖，脂肪吸收，促进肠道健康。,餐前咀嚼糖 2021-02-22 11:18,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
25,"非常的好
物流非常快",睡眠软糖 2021-02-22 10:05,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
26,完美，产品很惊艳，性价比合适，希望用的长久！?看起来还不错，包装的很仔细，价格也非常公道，还会继续买买买！?,明目软糖 2021-02-18 19:43,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
27,好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞??超级好用！还很美观！墙裂推荐！有需要再回购！真的推荐啊，快递速度特别的快，爱了爱了,维生素软糖 2021-02-17 14:56,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
28,这款糖，是软糖，QQ弹弹的，很有嚼劲儿，酸酸甜甜的，是香橙味儿的，可以补充维生素C，一包有20粒，非常好吃。,维生素软糖 2021-02-16 22:40,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
29,这个酸酸的很好吃，补不补维生素就不得而知啦！好吃就是了！,维生素软糖 2021-02-15 07:12,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
30,味道很不错 酸酸甜甜的还健康 物流也很快很好,维生素软糖 2021-02-06 17:15,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
31,真好吃，可爱的小怪兽，很喜欢味道，收到就吃啦,明目软糖 2021-02-06 13:58,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
32,包装很不错，味道好吃，效果明显，很适合熬夜人群,睡眠软糖 2021-02-01 22:45,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
33,收到货后试了一下，味道不错，质量很好，值得拥有！五星好评！,维生素软糖 2021-01-31 15:40,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
34,东西收到了，物流速度一级棒，期待效果,餐前咀嚼糖 2021-01-26 10:00,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
35,包装完好无损，保质期一年半，口感就像QQ糖，味道很好闻，第一次试用，还不知道效果,睡眠软糖 2021-01-25 16:25,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
36,"包装很不错，还送了两个红包，非常好，发货速度也很快，值得信赖
??????",牛磺酸气泡含片 2021-01-25 11:29,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
37,酸酸甜甜的橙子味软糖，很喜欢，小朋友都超爱的,维生素软糖 2021-01-24 15:14,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
38,很不错，包装上就知道是正品，价格实惠，产品味道甜甜的，效果暂时还不知道，先入手试试看,餐前咀嚼糖 2021-01-24 13:40,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
39,发货快，下单隔天就到了，软糖味道很好，酸酸甜甜的，好吃又能补充维生素，没事来一个还可以清新口气,维生素软糖 2021-01-22 08:12,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
40,包装很好看，软软的，QQ的，橙子味道，晚上可以好好睡一觉了，喜欢的朋友可以购买，是正品。,维生素软糖*5 2021-01-21 16:20,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
41,听朋友推荐购买的，还可以接受，效果也还可以，独立包装很方便,餐前咀嚼糖 2021-01-21 13:15,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
42,霸斧，加班狗最适合不过了，同事推荐的，真的不错，老是加班精神状态不好，吃一颗帮助睡眠，味道甜甜的又不腻，真的不错,维生素软糖 2021-01-20 21:10,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
43,软糖的形状很可爱，味道也是酸酸甜甜，包装也很特别好看，里面独立很方便,明目软糖 2021-01-20 18:39,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
44,貌似还不错，吃起来酸酸甜甜的，味道不错这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给朋友的,睡眠软糖 2021-01-20 18:03,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
45,很好，有我想要的效果。很满意,睡眠软糖 2021-01-20 13:09,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
46,第一次知道有这样的宝贝，口感不错，包装很漂亮，吃了有效果，真的不错，推荐！,牛磺酸气泡含片 2021-01-20 11:47,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
47,包装酷炫酷炫，好看，昨晚第一次吃，第一觉就睡得好不错，期待后续效果，如果效果很好会再次回购。,睡眠软糖 2021-01-20 10:43,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
48,就像吃糖果一样，好吃，吃了一会就有那种很舒服的睡意，很舒服,维生素软糖 2021-01-20 10:24,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
49,包装颜值相当可以，味道相当不错，甜甜的很喜欢,睡眠软糖 2021-01-20 10:05,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
50,味道酸酸甜甜的很好吃，特意吃了几颗感觉到，才来评价的，效果不错，会继续关注的。,餐前咀嚼糖 2021-01-20 09:59,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
51,味道甜甜的，果酱味道，很喜欢呐,牛磺酸气泡含片 2021-01-20 09:28,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
52,味道喜欢，包装也很特别，晚上打王者时候来几颗特别有精神，很好很好,维生素软糖*5 2021-01-20 09:04,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
53,宝贝收到，味道不错甜甜的，下午困的时候吃一颗还能提神，很喜欢！,睡眠软糖 2021-01-23 16:56,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
54,被包装吸引到了，里面还有说明书，贴心用心，味道超级好吃，吃了还想吃！！,明目软糖 2021-01-28 14:30,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
55,打开快递看到实物的盒子真的非常的漂亮哇！是酷酷的机甲风格。软糖味道也超赞，每一颗都是一个张大嘴巴的小熊，可以说是很用心了~小包装的设计也非常的人性化，出门口袋里装两包非常方便~,睡眠软糖 2021-01-27 20:03,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
56,包装精美味道又好，效果不错，黑科技护眼糖，物流非常快,维生素软糖*5 2021-01-27 19:41,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
57,包装很有辨识度，新潮酷炫， 日期很新鲜，味道好吃，吃完过一会儿眼睛会有润润的感过一会儿眼睛会有润润的感觉,牛磺酸气泡含片 2021-01-27 18:29,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
58,橙子味孩子们的最爱了，口感很好，包装精美，价格实惠。,维生素软糖 2021-01-27 17:18,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
59,提神效果还不错。开车累了困了来点特别赞。车上必备？,牛磺酸气泡含片 2021-01-23 19:03,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
60,是正品的 口感很好 分量足 价格很实惠性价比高,餐前咀嚼糖 2021-01-23 15:24,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
61,包装很可爱，两粒一个小包装很卫生，小怪兽一样的软糖，酸甜可口，很好吃，每天两颗精神好,牛磺酸气泡含片 2021-01-23 15:14,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
62,物流快，酸酸甜甜的很好吃，看来效果还可以，下次准备再多买两份,明目软糖 2021-01-23 11:09,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
63,很好吃的糖，效果还可以，下次准备买分量大一点的,维生素软糖 2021-01-23 10:50,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
64,很不错 吃了一粒糖果来开车真的特别提神 很满意 下次还得多买几粒放在车上 不错,牛磺酸气泡含片 2021-01-21 16:19,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
65,收到后吃了两颗，味道还不错，不知道助眠效果怎么样，包装很精致特别，总体还不错,牛磺酸气泡含片 2021-01-21 14:03,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
66,味道很好，老板还送了试吃，日期新鲜，发货很快,维生素软糖*5 2021-01-21 12:12,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
67,物流速度快，服务态度好，效果特别好，超级喜欢，特别好用,牛磺酸气泡含片 2021-01-19 21:18,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
68,挺好吃的，儿子特别喜欢,叶黄素软糖 2021-03-09 23:27,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
69,样子也和图片一样，去外面买都没这个价这次网购非常棒，可以*~+,维生素软糖 2021-03-08 22:47,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
70,挺不错的，产品也确实有效果，但请大家理性评估，一块糖能有这种效果已经很不错了！,牛磺酸气泡含片 2021-03-08 20:12,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
71,发货速度很快，东西包装的很好，价格优惠，我很满意?，还会回购是正品很好用，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买,GABA软糖 2021-03-08 19:11,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
72,客服细心解答，物流超快，很好吃！,维生素软糖*5 2021-03-07 11:39,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
73,很带劲，不错的,牛磺酸气泡含片 2021-03-05 14:02,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
74,产品很好，提神效果很好,牛磺酸气泡含片 2021-03-03 15:39,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
75,产品很好，眼睛很舒服，没那么干了,明目软糖 2021-03-03 15:38,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
76,非常不错,维生素软糖 2021-03-03 10:25,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
77,好吃，橙子味很浓，零糖零脂,维生素软糖 2021-03-01 12:04,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
78,效果杠杠好,明目软糖 2021-03-01 11:35,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
79,吃了倒头就睡 特别好,睡眠软糖 2021-02-26 22:59,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
80,连续两天早起刷词，睡眠不足五小时。。。吃了两颗感觉眼睛没有以前那么疲劳。。。。不知道是真起作用还是心理作用。。。！！！口感很好，酸甜适中,明目软糖 2021-02-23 13:40,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
81,口感很好，孩子也喜欢,维生素软糖 2021-02-23 13:35,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
82,"非常好的东西
累了困了来一颗",明目软糖 2021-02-23 10:00,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
